(base) robertselwyn:src on main [!?]$ python3 new_cfr_100bb.py 
0
PRINTING HAND INFORMATION
-------- ITER 0 -------
/Users/robertselwyn/Desktop/Stanford/cs/cs238/final_proj/src/new_cfr_100bb.py:34: RuntimeWarning: divide by zero encountered in double_scalars
  display_results(expected_game_value / a, i_map)
3h6s rrb ['0.50', '0.50']
3h6s rrc ['0.50', '0.50']
3h7c rrb ['0.50', '0.50']
3h7c rrc ['0.50', '0.50']
3h7h rrb ['0.50', '0.50']
3h7h rrc ['0.50', '0.50']
3h7s rrb ['0.50', '0.50']
3h7s rrc ['0.50', '0.50']
3h8c rrb ['0.50', '0.50']
3h8c rrc ['0.50', '0.50']
3h8h rrb ['0.50', '0.50']
3h8h rrc ['0.50', '0.50']
3h8s rrb ['0.50', '0.50']
3h8s rrc ['0.50', '0.50']
3h9c rrb ['0.50', '0.50']
3h9c rrc ['0.50', '0.50']
3h9h rrb ['0.50', '0.50']
3h9h rrc ['0.50', '0.50']
3h9s rrb ['0.50', '0.50']
3h9s rrc ['0.50', '0.50']
3hAc rrb ['0.50', '0.50']
3hAc rrc ['0.50', '0.50']
3hAh rrb ['0.50', '0.50']
3hAh rrc ['0.50', '0.50']
3hAs rrb ['0.50', '0.50']
3hAs rrc ['0.50', '0.50']
3hJc rrb ['0.50', '0.50']
3hJc rrc ['0.50', '0.50']
3hJh rrb ['0.50', '0.50']
3hJh rrc ['0.50', '0.50']
3hJs rrb ['0.50', '0.50']
3hJs rrc ['0.50', '0.50']
3hKc rrb ['0.50', '0.50']
3hKc rrc ['0.50', '0.50']
3hKh rrb ['0.50', '0.50']
3hKh rrc ['0.50', '0.50']
3hKs rrb ['0.50', '0.50']
3hKs rrc ['0.50', '0.50']
3hQc rrb ['0.50', '0.50']
3hQc rrc ['0.50', '0.50']
3hQh rrb ['0.50', '0.50']
3hQh rrc ['0.50', '0.50']
3hQs rrb ['0.50', '0.50']
3hQs rrc ['0.50', '0.50']
3hTc rrb ['0.50', '0.50']
3hTc rrc ['0.50', '0.50']
3hTh rrb ['0.50', '0.50']
3hTh rrc ['0.50', '0.50']
3hTs rrb ['0.50', '0.50']
3hTs rrc ['0.50', '0.50']
3s3c rrb ['0.50', '0.50']
3s3c rrc ['0.50', '0.50']
3s4c rrb ['0.50', '0.50']
3s4c rrc ['0.50', '0.50']
3s4h rrb ['0.50', '0.50']
3s4h rrc ['0.50', '0.50']
3s4s rrb ['0.50', '0.50']
3s4s rrc ['0.50', '0.50']
3s5c rrb ['0.50', '0.50']
3s5c rrc ['0.50', '0.50']
3s5h rrb ['0.50', '0.50']
3s5h rrc ['0.50', '0.50']
3s5s rrb ['0.50', '0.50']
3s5s rrc ['0.50', '0.50']
3s6c rrb ['0.50', '0.50']
3s6c rrc ['0.50', '0.50']
3s6h rrb ['0.50', '0.50']
3s6h rrc ['0.50', '0.50']
3s6s rrb ['0.50', '0.50']
3s6s rrc ['0.50', '0.50']
3s7c rrb ['0.50', '0.50']
3s7c rrc ['0.50', '0.50']
3s7h rrb ['0.50', '0.50']
3s7h rrc ['0.50', '0.50']
3s7s rrb ['0.50', '0.50']
3s7s rrc ['0.50', '0.50']
3s8c rrb ['0.50', '0.50']
3s8c rrc ['0.50', '0.50']
3s8h rrb ['0.50', '0.50']
3s8h rrc ['0.50', '0.50']
3s8s rrb ['0.50', '0.50']
3s8s rrc ['0.50', '0.50']
3s9c rrb ['0.50', '0.50']
3s9c rrc ['0.50', '0.50']
3s9h rrb ['0.50', '0.50']
3s9h rrc ['0.50', '0.50']
3s9s rrb ['0.50', '0.50']
3s9s rrc ['0.50', '0.50']
3sAc rrb ['0.50', '0.50']
3sAc rrc ['0.50', '0.50']
3sAh rrb ['0.50', '0.50']
3sAh rrc ['0.50', '0.50']
3sAs rrb ['0.50', '0.50']
3sAs rrc ['0.50', '0.50']
3sJc rrb ['0.50', '0.50']
3sJc rrc ['0.50', '0.50']
3sJh rrb ['0.50', '0.50']
3sJh rrc ['0.50', '0.50']
3sJs rrb ['0.50', '0.50']
3sJs rrc ['0.50', '0.50']
3sKc rrb ['0.50', '0.50']
3sKc rrc ['0.50', '0.50']
3sKh rrb ['0.50', '0.50']
3sKh rrc ['0.50', '0.50']
3sKs rrb ['0.50', '0.50']
3sKs rrc ['0.50', '0.50']
3sQc rrb ['0.50', '0.50']
3sQc rrc ['0.50', '0.50']
3sQh rrb ['0.50', '0.50']
3sQh rrc ['0.50', '0.50']
3sQs rrb ['0.50', '0.50']
3sQs rrc ['0.50', '0.50']
3sTc rrb ['0.50', '0.50']
3sTc rrc ['0.50', '0.50']
3sTh rrb ['0.50', '0.50']
3sTh rrc ['0.50', '0.50']
3sTs rrb ['0.50', '0.50']
3sTs rrc ['0.50', '0.50']
4c4d rrb ['0.50', '0.50']
4c4d rrc ['0.50', '0.50']
4c5c rrb ['0.50', '0.50']
4c5c rrc ['0.50', '0.50']
4c5h rrb ['0.50', '0.50']
4c5h rrc ['0.50', '0.50']
4c6c rrb ['0.50', '0.50']
4c6c rrc ['0.50', '0.50']
4c6h rrb ['0.50', '0.50']
4c6h rrc ['0.50', '0.50']
4c7c rrb ['0.50', '0.50']
4c7c rrc ['0.50', '0.50']
4c7h rrb ['0.50', '0.50']
4c7h rrc ['0.50', '0.50']
4c8c rrb ['0.50', '0.50']
4c8c rrc ['0.50', '0.50']
4c8h rrb ['0.50', '0.50']
4c8h rrc ['0.50', '0.50']
4c9c rrb ['0.50', '0.50']
4c9c rrc ['0.50', '0.50']
4c9h rrb ['0.50', '0.50']
4c9h rrc ['0.50', '0.50']
4cAc rrb ['0.50', '0.50']
4cAc rrc ['0.50', '0.50']
4cAh rrb ['0.50', '0.50']
4cAh rrc ['0.50', '0.50']
4cJc rrb ['0.50', '0.50']
4cJc rrc ['0.50', '0.50']
4cJh rrb ['0.50', '0.50']
4cJh rrc ['0.50', '0.50']
4cKc rrb ['0.50', '0.50']
4cKc rrc ['0.50', '0.50']
4cKh rrb ['0.50', '0.50']
4cKh rrc ['0.50', '0.50']
4cQc rrb ['0.50', '0.50']
4cQc rrc ['0.50', '0.50']
4cQh rrb ['0.50', '0.50']
4cQh rrc ['0.50', '0.50']
4cTc rrb ['0.50', '0.50']
4cTc rrc ['0.50', '0.50']
4cTh rrb ['0.50', '0.50']
4cTh rrc ['0.50', '0.50']
4h4c rrb ['0.50', '0.50']
4h4c rrc ['0.50', '0.50']
4h4s rrb ['0.50', '0.50']
4h4s rrc ['0.50', '0.50']
4h5c rrb ['0.50', '0.50']
4h5c rrc ['0.50', '0.50']
4h5h rrb ['0.50', '0.50']
4h5h rrc ['0.50', '0.50']
4h5s rrb ['0.50', '0.50']
4h5s rrc ['0.50', '0.50']
4h6c rrb ['0.50', '0.50']
4h6c rrc ['0.50', '0.50']
4h6h rrb ['0.50', '0.50']
4h6h rrc ['0.50', '0.50']
4h6s rrb ['0.50', '0.50']
4h6s rrc ['0.50', '0.50']
4h7c rrb ['0.50', '0.50']
4h7c rrc ['0.50', '0.50']
4h7h rrb ['0.50', '0.50']
4h7h rrc ['0.50', '0.50']
4h7s rrb ['0.50', '0.50']
4h7s rrc ['0.50', '0.50']
4h8c rrb ['0.50', '0.50']
4h8c rrc ['0.50', '0.50']
4h8h rrb ['0.50', '0.50']
4h8h rrc ['0.50', '0.50']
4h8s rrb ['0.50', '0.50']
4h8s rrc ['0.50', '0.50']
4h9c rrb ['0.50', '0.50']
4h9c rrc ['0.50', '0.50']
4h9h rrb ['0.50', '0.50']
4h9h rrc ['0.50', '0.50']
4h9s rrb ['0.50', '0.50']
4h9s rrc ['0.50', '0.50']
4hAc rrb ['0.50', '0.50']
4hAc rrc ['0.50', '0.50']
4hAh rrb ['0.50', '0.50']
4hAh rrc ['0.50', '0.50']
4hAs rrb ['0.50', '0.50']
4hAs rrc ['0.50', '0.50']
4hJc rrb ['0.50', '0.50']
4hJc rrc ['0.50', '0.50']
4hJh rrb ['0.50', '0.50']
4hJh rrc ['0.50', '0.50']
4hJs rrb ['0.50', '0.50']
4hJs rrc ['0.50', '0.50']
4hKc rrb ['0.50', '0.50']
4hKc rrc ['0.50', '0.50']
4hKh rrb ['0.50', '0.50']
4hKh rrc ['0.50', '0.50']
4hKs rrb ['0.50', '0.50']
4hKs rrc ['0.50', '0.50']
4hQc rrb ['0.50', '0.50']
4hQc rrc ['0.50', '0.50']
4hQh rrb ['0.50', '0.50']
4hQh rrc ['0.50', '0.50']
4hQs rrb ['0.50', '0.50']
4hQs rrc ['0.50', '0.50']
4hTc rrb ['0.50', '0.50']
4hTc rrc ['0.50', '0.50']
4hTh rrb ['0.50', '0.50']
4hTh rrc ['0.50', '0.50']
4hTs rrb ['0.50', '0.50']
4hTs rrc ['0.50', '0.50']
4s4c rrb ['0.50', '0.50']
4s4c rrc ['0.50', '0.50']
4s5c rrb ['0.50', '0.50']
4s5c rrc ['0.50', '0.50']
4s5h rrb ['0.50', '0.50']
4s5h rrc ['0.50', '0.50']
4s5s rrb ['0.50', '0.50']
4s5s rrc ['0.50', '0.50']
4s6c rrb ['0.50', '0.50']
4s6c rrc ['0.50', '0.50']
4s6h rrb ['0.50', '0.50']
4s6h rrc ['0.50', '0.50']
4s6s rrb ['0.50', '0.50']
4s6s rrc ['0.50', '0.50']
4s7c rrb ['0.50', '0.50']
4s7c rrc ['0.50', '0.50']
4s7h rrb ['0.50', '0.50']
4s7h rrc ['0.50', '0.50']
4s7s rrb ['0.50', '0.50']
4s7s rrc ['0.50', '0.50']
4s8c rrb ['0.50', '0.50']
4s8c rrc ['0.50', '0.50']
4s8h rrb ['0.50', '0.50']
4s8h rrc ['0.50', '0.50']
4s8s rrb ['0.50', '0.50']
4s8s rrc ['0.50', '0.50']
4s9c rrb ['0.50', '0.50']
4s9c rrc ['0.50', '0.50']
4s9h rrb ['0.50', '0.50']
4s9h rrc ['0.50', '0.50']
4s9s rrb ['0.50', '0.50']
4s9s rrc ['0.50', '0.50']
4sAc rrb ['0.50', '0.50']
4sAc rrc ['0.50', '0.50']
4sAh rrb ['0.50', '0.50']
4sAh rrc ['0.50', '0.50']
4sAs rrb ['0.50', '0.50']
4sAs rrc ['0.50', '0.50']
4sJc rrb ['0.50', '0.50']
4sJc rrc ['0.50', '0.50']
4sJh rrb ['0.50', '0.50']
4sJh rrc ['0.50', '0.50']
4sJs rrb ['0.50', '0.50']
4sJs rrc ['0.50', '0.50']
4sKc rrb ['0.50', '0.50']
4sKc rrc ['0.50', '0.50']
4sKh rrb ['0.50', '0.50']
4sKh rrc ['0.50', '0.50']
4sKs rrb ['0.50', '0.50']
4sKs rrc ['0.50', '0.50']
4sQc rrb ['0.50', '0.50']
4sQc rrc ['0.50', '0.50']
4sQh rrb ['0.50', '0.50']
4sQh rrc ['0.50', '0.50']
4sQs rrb ['0.50', '0.50']
4sQs rrc ['0.50', '0.50']
4sTc rrb ['0.50', '0.50']
4sTc rrc ['0.50', '0.50']
4sTh rrb ['0.50', '0.50']
4sTh rrc ['0.50', '0.50']
4sTs rrb ['0.50', '0.50']
4sTs rrc ['0.50', '0.50']
5c5d rrb ['0.50', '0.50']
5c5d rrc ['0.50', '0.50']
5c6c rrb ['0.50', '0.50']
5c6c rrc ['0.50', '0.50']
5c6h rrb ['0.50', '0.50']
5c6h rrc ['0.50', '0.50']
5c7c rrb ['0.50', '0.50']
5c7c rrc ['0.50', '0.50']
5c7h rrb ['0.50', '0.50']
5c7h rrc ['0.50', '0.50']
5c8c rrb ['0.50', '0.50']
5c8c rrc ['0.50', '0.50']
5c8h rrb ['0.50', '0.50']
5c8h rrc ['0.50', '0.50']
5c9c rrb ['0.50', '0.50']
5c9c rrc ['0.50', '0.50']
5c9h rrb ['0.50', '0.50']
5c9h rrc ['0.50', '0.50']
5cAc rrb ['0.50', '0.50']
5cAc rrc ['0.50', '0.50']
5cAh rrb ['0.50', '0.50']
5cAh rrc ['0.50', '0.50']
5cJc rrb ['0.50', '0.50']
5cJc rrc ['0.50', '0.50']
5cJh rrb ['0.50', '0.50']
5cJh rrc ['0.50', '0.50']
5cKc rrb ['0.50', '0.50']
5cKc rrc ['0.50', '0.50']
5cKh rrb ['0.50', '0.50']
5cKh rrc ['0.50', '0.50']
5cQc rrb ['0.50', '0.50']
5cQc rrc ['0.50', '0.50']
5cQh rrb ['0.50', '0.50']
5cQh rrc ['0.50', '0.50']
5cTc rrb ['0.50', '0.50']
5cTc rrc ['0.50', '0.50']
5cTh rrb ['0.50', '0.50']
5cTh rrc ['0.50', '0.50']
5h5c rrb ['0.50', '0.50']
5h5c rrc ['0.50', '0.50']
5h5s rrb ['0.50', '0.50']
5h5s rrc ['0.50', '0.50']
5h6c rrb ['0.50', '0.50']
5h6c rrc ['0.50', '0.50']
5h6h rrb ['0.50', '0.50']
5h6h rrc ['0.50', '0.50']
5h6s rrb ['0.50', '0.50']
5h6s rrc ['0.50', '0.50']
5h7c rrb ['0.50', '0.50']
5h7c rrc ['0.50', '0.50']
5h7h rrb ['0.50', '0.50']
5h7h rrc ['0.50', '0.50']
5h7s rrb ['0.50', '0.50']
5h7s rrc ['0.50', '0.50']
5h8c rrb ['0.50', '0.50']
5h8c rrc ['0.50', '0.50']
5h8h rrb ['0.50', '0.50']
5h8h rrc ['0.50', '0.50']
5h8s rrb ['0.50', '0.50']
5h8s rrc ['0.50', '0.50']
5h9c rrb ['0.50', '0.50']
5h9c rrc ['0.50', '0.50']
5h9h rrb ['0.50', '0.50']
5h9h rrc ['0.50', '0.50']
5h9s rrb ['0.50', '0.50']
5h9s rrc ['0.50', '0.50']
5hAc rrb ['0.50', '0.50']
5hAc rrc ['0.50', '0.50']
5hAh rrb ['0.50', '0.50']
5hAh rrc ['0.50', '0.50']
5hAs rrb ['0.50', '0.50']
5hAs rrc ['0.50', '0.50']
5hJc rrb ['0.50', '0.50']
5hJc rrc ['0.50', '0.50']
5hJh rrb ['0.50', '0.50']
5hJh rrc ['0.50', '0.50']
5hJs rrb ['0.50', '0.50']
5hJs rrc ['0.50', '0.50']
5hKc rrb ['0.50', '0.50']
5hKc rrc ['0.50', '0.50']
5hKh rrb ['0.50', '0.50']
5hKh rrc ['0.50', '0.50']
5hKs rrb ['0.50', '0.50']
5hKs rrc ['0.50', '0.50']
5hQc rrb ['0.50', '0.50']
5hQc rrc ['0.50', '0.50']
5hQh rrb ['0.50', '0.50']
5hQh rrc ['0.50', '0.50']
5hQs rrb ['0.50', '0.50']
5hQs rrc ['0.50', '0.50']
5hTc rrb ['0.50', '0.50']
5hTc rrc ['0.50', '0.50']
5hTh rrb ['0.50', '0.50']
5hTh rrc ['0.50', '0.50']
5hTs rrb ['0.50', '0.50']
5hTs rrc ['0.50', '0.50']
5s5c rrb ['0.50', '0.50']
5s5c rrc ['0.50', '0.50']
5s6c rrb ['0.50', '0.50']
5s6c rrc ['0.50', '0.50']
5s6h rrb ['0.50', '0.50']
5s6h rrc ['0.50', '0.50']
5s6s rrb ['0.50', '0.50']
5s6s rrc ['0.50', '0.50']
5s7c rrb ['0.50', '0.50']
5s7c rrc ['0.50', '0.50']
5s7h rrb ['0.50', '0.50']
5s7h rrc ['0.50', '0.50']
5s7s rrb ['0.50', '0.50']
5s7s rrc ['0.50', '0.50']
5s8c rrb ['0.50', '0.50']
5s8c rrc ['0.50', '0.50']
5s8h rrb ['0.50', '0.50']
5s8h rrc ['0.50', '0.50']
5s8s rrb ['0.50', '0.50']
5s8s rrc ['0.50', '0.50']
5s9c rrb ['0.50', '0.50']
5s9c rrc ['0.50', '0.50']
5s9h rrb ['0.50', '0.50']
5s9h rrc ['0.50', '0.50']
5s9s rrb ['0.50', '0.50']
5s9s rrc ['0.50', '0.50']
5sAc rrb ['0.50', '0.50']
5sAc rrc ['0.50', '0.50']
5sAh rrb ['0.50', '0.50']
5sAh rrc ['0.50', '0.50']
5sAs rrb ['0.50', '0.50']
5sAs rrc ['0.50', '0.50']
5sJc rrb ['0.50', '0.50']
5sJc rrc ['0.50', '0.50']
5sJh rrb ['0.50', '0.50']
5sJh rrc ['0.50', '0.50']
5sJs rrb ['0.50', '0.50']
5sJs rrc ['0.50', '0.50']
5sKc rrb ['0.50', '0.50']
5sKc rrc ['0.50', '0.50']
5sKh rrb ['0.50', '0.50']
5sKh rrc ['0.50', '0.50']
5sKs rrb ['0.50', '0.50']
5sKs rrc ['0.50', '0.50']
5sQc rrb ['0.50', '0.50']
5sQc rrc ['0.50', '0.50']
5sQh rrb ['0.50', '0.50']
5sQh rrc ['0.50', '0.50']
5sQs rrb ['0.50', '0.50']
5sQs rrc ['0.50', '0.50']
5sTc rrb ['0.50', '0.50']
5sTc rrc ['0.50', '0.50']
5sTh rrb ['0.50', '0.50']
5sTh rrc ['0.50', '0.50']
5sTs rrb ['0.50', '0.50']
5sTs rrc ['0.50', '0.50']
6c6d rrb ['0.50', '0.50']
6c6d rrc ['0.50', '0.50']
6c7c rrb ['0.50', '0.50']
6c7c rrc ['0.50', '0.50']
6c7h rrb ['0.50', '0.50']
6c7h rrc ['0.50', '0.50']
6c8c rrb ['0.50', '0.50']
6c8c rrc ['0.50', '0.50']
6c8h rrb ['0.50', '0.50']
6c8h rrc ['0.50', '0.50']
6c9c rrb ['0.50', '0.50']
6c9c rrc ['0.50', '0.50']
6c9h rrb ['0.50', '0.50']
6c9h rrc ['0.50', '0.50']
6cAc rrb ['0.50', '0.50']
6cAc rrc ['0.50', '0.50']
